6512580|027|9
6504788|024|19
6484189|036|25
6502986|089|20
6528423|053|19
6318695|048|23
0027953|071|6
6483080|006|1,32
6521930|076|48
6524179|043|2,364
6504403|017|20
0063624|048|16
5233283|067|1
6487084|016|1
6529889|040|4
0027060|062|18
5259403|073|1,351
6505885|038|2,092
0062394|080|24
0611210|027|11
0017206|068|60
6348718|029|26
6496937|090|174
6511302|005|20
6494680|056|45
0041641|061|4,5
6503618|032|60
0014466|071|13
5260104|074|24,028
6502350|036|52
6531299|011|1188
6518179|093|12
0017195|069|32
0015131|019|144
6185268|033|25
6500648|020|56
0017203|043|880
6376149|048|58
6145361|038|13,855
6521931|063|19
6408215|017|1,238
0022178|004|27
6509400|073|37
6487083|064|17
6035273|059|7
6505640|007|19
5155131|031|299
6493290|050|34
0041581|073|2,913
6488624|015|17
6487084|034|14
6509408|026|29
6522495|076|39
6496139|001|17
0016022|051|13
0041581|086|1,822
6528919|023|4
0014466|088|47
0021060|081|12
6376149|019|16
0041295|046|3,594
6492143|066|104
6502500|051|27
0042046|034|9,344
6527976|031|60
6528655|071|7
6503721|055|5
6489843|034|36
0041268|009|3
5207980|047|15
5155125|038|8
0017024|041|72
0042048|017|1,194
6502176|077|18
0043122|086|2,662
0064246|031|39
0041353|090|25,713
5290572|003|2,235
6498877|075|14
0014466|084|6
6487084|031|12
0571430|069|2,97
0644658|050|15
6511303|089|16
6527976|078|80
0030007|001|16
6525260|053|66
5107586|072|1,626
6494062|055|6
6181507|055|8
0041709|020|1,417
0441287|059|5
6035273|069|11
0030171|069|15
6505675|063|20
0627992|003|16
5128236|066|33
6509400|026|52
6503158|071|11
6434237|074|22
6375141|074|19
6502546|041|11
5155123|076|25
0478396|012|8
0016049|037|21
6529888|040|25
0064499|026|5
6498842|051|2
6074090|062|22
6527414|086|27
6518179|027|22
0041320|040|127
6499145|022|48
6520451|056|60
0041432|073|38,762
6527500|087|36
6484957|028|89
6474088|053|12
6388482|043|11
6497287|056|8
6464990|063|8
6506522|062|21
6455719|007|8,595
0064500|025|37
6074090|090|6
0042076|078|90
6498855|038|63
6494680|072|37
6474976|012|38
6531049|093|45
0041348|087|5,69
6488612|073|18
6181507|080|21
6484713|081|15
5209655|036|4
6467177|022|54
6473039|088|16
6035273|003|14
6523785|055|40
6514429|048|15
0693465|063|34
6485030|073|34,836
0041241|069|2,876
6504403|081|32
6517115|062|12
6495719|047|38
6451336|006|4
6505640|020|110
5074000|086|54
6467682|022|47
0042740|002|13,21
6529890|025|7
6528919|055|9
0415422|087|8
5209655|027|9
0041999|033|3,7
6412142|063|16
0065183|039|2,986
6434237|080|22
6517115|017|16
6467682|049|11
6504393|064|19
6493677|043|56
5119995|078|10
6476771|078|21
6318695|066|71
6500599|038|2,576
0014466|086|36
6256796|035|7
6475366|078|30
6320287|009|20
6527583|028|32
5233283|051|57
6504457|080|84
6474088|080|13
6504393|015|2
0030007|007|6
6474294|019|15
0432401|044|3,878
6531523|043|139
6515623|007|166
0027953|080|19
6520451|055|129
0650481|014|1,58
6524145|089|20
6478775|022|42
6521931|003|14
6526319|034|8,575
6522498|073|25
6516110|059|26
0064929|006|11
6457982|081|28
6527740|080|3,01
6528945|072|179
6485794|069|58
6503158|019|25
0030403|068|40
6504399|042|6
5208780|027|9
0014896|017|185
0027060|021|32
6531292|031|13
6041347|016|23
0436352|036|20
6523787|042|62
5155131|021|447
6505640|093|5
0016049|074|49
6502526|043|87
6522496|086|49
6524143|061|17
6529885|074|7,712
6378442|044|9
6523082|039|18
6527033|048|38
6460576|062|16
6531523|011|133
6495125|056|20
6285233|024|1,01
5117601|016|1,25
6509206|021|27
6488625|064|27
0040039|034|28
6521624|072|29
6408256|024|3,634
0031443|006|4
0016022|004|32
6485794|002|16
6486203|027|18
6318695|084|5
6498855|064|2
6523784|071|50
6528919|065|13
0022105|006|16
6294805|007|23
0683888|050|19
6529890|044|5
6504393|063|39
0682799|071|43
0016022|007|17
5074604|064|32
0005623|014|25
0041359|007|2,4
0015131|071|73
6041347|044|102
6523785|002|25
0030007|011|33
6464990|074|20
4933198|086|3,108
6493554|077|12
6485795|048|45
6528655|040|36
5155131|006|219
6527999|046|279
0694125|047|52
0042391|026|23
6488611|073|21
6277479|029|22
6041347|086|20
5185988|066|30,621
6518178|031|11
6266530|041|44
6528337|039|20
6502986|053|27
6484246|046|6
6041347|066|22
6498848|041|18
6525265|090|4
6320287|004|13
0020563|042|47
0062362|045|19
6296503|045|16
0030171|029|46
0027060|027|3
6277479|004|24
6489843|012|38
6509404|042|48
6227813|007|35
6512884|087|54
